phase,cell_id,utilization,exact_e0,taskset_id,relation,task_id,priority_rank,w,h,q,visited_by_complete,visited_by_local,complete_envelope,local_envelope,envelope_relation,service_value,complete_closure,local_closure,local_only_closure,predicted_interval_hit
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,7,True,True,215062500000000001/12500000000000000000,215062500000000001/12500000000000000000,EQUAL,68139899401200014281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,8,True,True,488250000000000003/25000000000000000000,488250000000000003/25000000000000000000,EQUAL,75917699401200010281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,9,True,True,136593750000000001/6250000000000000000,136593750000000001/6250000000000000000,EQUAL,83695499401200012281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,10,True,True,120900000000000001/5000000000000000000,120900000000000001/5000000000000000000,EQUAL,91473299401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,11,True,True,654487500000000007/25000000000000000000,654487500000000007/25000000000000000000,EQUAL,99251099401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,12,True,True,704475000000000009/25000000000000000000,704475000000000009/25000000000000000000,EQUAL,107028899401200026281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,13,True,True,754462500000000011/25000000000000000000,754462500000000011/25000000000000000000,EQUAL,114806699401200028281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,14,True,True,804450000000000013/25000000000000000000,804450000000000013/25000000000000000000,EQUAL,122584499401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,15,True,True,6770400000000000113/200000000000000000000,6770400000000000113/200000000000000000000,EQUAL,130362299401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,16,True,True,1408020000000000023/40000000000000000000,1408020000000000023/40000000000000000000,EQUAL,138140099401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,17,True,True,7309800000000000117/200000000000000000000,7309800000000000117/200000000000000000000,EQUAL,145917899401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,18,True,True,7579500000000000119/200000000000000000000,7579500000000000119/200000000000000000000,EQUAL,153695699401200040281/200000000000000000000,False,False,False,False
